system:index,date,fire_count,.geo
0,2024-01-01,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2024-01-02,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2024-01-03,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2024-01-04,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2024-01-05,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2024-01-06,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2024-01-07,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2024-01-08,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2024-01-09,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2024-01-10,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2024-01-11,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2024-01-12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2024-01-13,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2024-01-14,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2024-01-15,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2024-01-16,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2024-01-17,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2024-01-18,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2024-01-19,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2024-01-20,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2024-01-21,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2024-01-22,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2024-01-23,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2024-01-24,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2024-01-25,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2024-01-26,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2024-01-27,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2024-01-28,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2024-01-29,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2024-01-30,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2024-01-31,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2024-02-01,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2024-02-02,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2024-02-03,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2024-02-04,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2024-02-05,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2024-02-06,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2024-02-07,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2024-02-08,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2024-02-09,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2024-02-10,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2024-02-11,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2024-02-12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2024-02-13,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2024-02-14,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2024-02-15,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2024-02-16,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2024-02-17,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2024-02-18,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2024-02-19,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2024-02-20,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2024-02-21,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
