system:index,confidence,date,.geo
2024001,-9999,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024002,-9999,2024-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024003,-9999,2024-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024004,-9999,2024-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024005,-9999,2024-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024006,-9999,2024-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024007,-9999,2024-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024008,-9999,2024-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024009,-9999,2024-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024010,-9999,2024-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024011,-9999,2024-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024012,-9999,2024-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024013,-9999,2024-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024014,-9999,2024-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024015,-9999,2024-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024016,-9999,2024-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024017,-9999,2024-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024018,-9999,2024-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024019,-9999,2024-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024020,-9999,2024-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024021,-9999,2024-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024022,-9999,2024-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024023,-9999,2024-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024024,-9999,2024-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024025,-9999,2024-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024026,-9999,2024-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024027,-9999,2024-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024028,-9999,2024-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024029,-9999,2024-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024030,-9999,2024-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024031,-9999,2024-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024032,-9999,2024-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024033,-9999,2024-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024034,-9999,2024-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024035,-9999,2024-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024036,-9999,2024-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024037,-9999,2024-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024038,-9999,2024-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024039,-9999,2024-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024040,-9999,2024-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024041,-9999,2024-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024042,-9999,2024-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024043,-9999,2024-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024044,-9999,2024-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024045,-9999,2024-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024046,-9999,2024-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024047,-9999,2024-02-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024048,-9999,2024-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024049,-9999,2024-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024050,-9999,2024-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024051,-9999,2024-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024052,-9999,2024-02-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024053,-9999,2024-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024054,-9999,2024-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024055,-9999,2024-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024056,-9999,2024-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024057,-9999,2024-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024058,-9999,2024-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024059,-9999,2024-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024060,-9999,2024-02-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024061,-9999,2024-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024062,-9999,2024-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024063,-9999,2024-03-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024064,-9999,2024-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024065,-9999,2024-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024066,-9999,2024-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024067,-9999,2024-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024068,-9999,2024-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024069,-9999,2024-03-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024070,-9999,2024-03-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024071,-9999,2024-03-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024072,-9999,2024-03-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024073,-9999,2024-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024074,-9999,2024-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024075,-9999,2024-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024076,-9999,2024-03-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024077,-9999,2024-03-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024078,-9999,2024-03-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024079,-9999,2024-03-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024080,-9999,2024-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024081,-9999,2024-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024082,-9999,2024-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024083,-9999,2024-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024084,-9999,2024-03-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024085,-9999,2024-03-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024086,-9999,2024-03-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024087,-9999,2024-03-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024088,-9999,2024-03-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024089,-9999,2024-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024090,-9999,2024-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024091,-9999,2024-03-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024092,-9999,2024-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024093,-9999,2024-04-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024094,-9999,2024-04-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024095,-9999,2024-04-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024096,-9999,2024-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024097,-9999,2024-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024098,-9999,2024-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024099,-9999,2024-04-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024100,-9999,2024-04-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024101,-9999,2024-04-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024102,-9999,2024-04-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024103,-9999,2024-04-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024104,-9999,2024-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024105,-9999,2024-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024106,-9999,2024-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024107,-9999,2024-04-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024108,-9999,2024-04-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024109,-9999,2024-04-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024110,-9999,2024-04-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024111,-9999,2024-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024112,44.077032810271035,2024-04-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024113,-9999,2024-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024114,-9999,2024-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024115,-9999,2024-04-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024116,-9999,2024-04-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024117,-9999,2024-04-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024118,-9999,2024-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024119,-9999,2024-04-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024120,-9999,2024-04-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024121,-9999,2024-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024122,-9999,2024-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024123,-9999,2024-05-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024124,-9999,2024-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024125,-9999,2024-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024126,-9999,2024-05-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024127,-9999,2024-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024128,-9999,2024-05-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024129,-9999,2024-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024130,-9999,2024-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024131,-9999,2024-05-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024132,-9999,2024-05-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024133,-9999,2024-05-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024134,-9999,2024-05-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024135,-9999,2024-05-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024136,-9999,2024-05-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024137,-9999,2024-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024138,-9999,2024-05-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024139,-9999,2024-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024140,-9999,2024-05-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024141,-9999,2024-05-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024142,-9999,2024-05-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024143,-9999,2024-05-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024144,-9999,2024-05-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024145,-9999,2024-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024146,-9999,2024-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024147,-9999,2024-05-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024148,-9999,2024-05-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024149,-9999,2024-05-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024150,-9999,2024-05-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024151,-9999,2024-05-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024152,-9999,2024-05-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024153,-9999,2024-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024154,-9999,2024-06-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024155,-9999,2024-06-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024156,-9999,2024-06-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024157,-9999,2024-06-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024158,-9999,2024-06-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024159,-9999,2024-06-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024160,-9999,2024-06-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024161,-9999,2024-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024162,-9999,2024-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024163,-9999,2024-06-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024164,-9999,2024-06-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024165,-9999,2024-06-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024166,-9999,2024-06-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024167,-9999,2024-06-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024168,-9999,2024-06-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024169,-9999,2024-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024170,-9999,2024-06-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024171,-9999,2024-06-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024172,-9999,2024-06-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024173,-9999,2024-06-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024174,-9999,2024-06-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024175,-9999,2024-06-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024176,-9999,2024-06-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024177,-9999,2024-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024178,-9999,2024-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024179,-9999,2024-06-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024180,-9999,2024-06-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024181,-9999,2024-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024182,-9999,2024-06-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024183,-9999,2024-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024184,-9999,2024-07-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024185,-9999,2024-07-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024186,-9999,2024-07-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024187,-9999,2024-07-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024188,-9999,2024-07-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024189,-9999,2024-07-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024190,-9999,2024-07-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024191,-9999,2024-07-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024192,-9999,2024-07-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024193,-9999,2024-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024194,-9999,2024-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024195,-9999,2024-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024196,-9999,2024-07-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024197,-9999,2024-07-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
