system:index,NDVI,date,.geo
2024_01_01,5804.398401617337,2024-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_01_17,6095.867511134979,2024-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_02_02,5672.274439011447,2024-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_02_18,5669.76077755035,2024-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_03_05,5403.450913501629,2024-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_03_21,5449.271403482172,2024-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_04_06,5498.456068531572,2024-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_04_22,5176.503667273137,2024-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_05_08,5586.769716726051,2024-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_05_24,2851.6319112778892,2024-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_06_09,6072.889691203599,2024-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_06_25,5271.282503221894,2024-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_07_11,4379.019792535313,2024-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_07_27,4220.415147322666,2024-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_08_12,3738.2389286887496,2024-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_08_28,2487.965200389155,2024-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_09_13,5020.490846031384,2024-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_09_29,6108.590888989968,2024-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_10_15,5789.2372244861745,2024-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_10_31,6253.043009122382,2024-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_11_16,6276.542063366711,2024-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_12_02,6468.225332448912,2024-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_12_18,6256.311649872066,2024-12-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
