system:index,district,month,ndvi,.geo
0_00000000000000000000,Alappuzha,2024-01,0.370276669005444,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,Ernakulam,2024-01,0.38890798719039044,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,Idukki,2024-01,0.46547503040129373,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,Kannur,2024-01,0.39561117380867944,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,Kasaragod,2024-01,0.39676081012915887,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,Kollam,2024-01,0.4158685554154816,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,Kottayam,2024-01,0.43477967715923227,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,Kozhikode,2024-01,0.41096931903634387,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,Malappuram,2024-01,0.3872862218036772,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,Palakkad,2024-01,0.41801076809340654,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a,Pathanamthitta,2024-01,0.45503664631056645,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b,Thiruvananthapuram,2024-01,0.42320274520264284,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000c,Thrissur,2024-01,0.4200945330901663,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000d,Wayanad,2024-01,0.41042844311930365,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,Alappuzha,2024-02,0.359314970756958,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,Ernakulam,2024-02,0.3821507537137362,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,Idukki,2024-02,0.4508793589102221,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003,Kannur,2024-02,0.43101679504380536,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,Kasaragod,2024-02,0.4141033852257417,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000005,Kollam,2024-02,0.40086795052515517,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000006,Kottayam,2024-02,0.44204094987749926,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000007,Kozhikode,2024-02,0.4231338971619503,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000008,Malappuram,2024-02,0.39459524296121795,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000009,Palakkad,2024-02,0.3964176722991524,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000a,Pathanamthitta,2024-02,0.45005837851356134,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000b,Thiruvananthapuram,2024-02,0.4116706998997193,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000c,Thrissur,2024-02,0.4017675572515195,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000d,Wayanad,2024-02,0.4051401970659329,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000,Alappuzha,2024-03,0.32454545424819986,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000001,Ernakulam,2024-03,0.35932274215652993,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000002,Idukki,2024-03,0.43643512478435653,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000003,Kannur,2024-03,0.4046616055710061,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000004,Kasaragod,2024-03,0.39079893766768115,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000005,Kollam,2024-03,0.4104729670524035,"{""type"":""MultiPoint"",""coordinates"":[]}"
