month,fire_count,district
2024-01,31,Thrissur
2024-02,29,Thrissur
2024-03,31,Thrissur
2024-04,30,Thrissur
2024-05,31,Thrissur
2024-06,30,Thrissur
2024-07,31,Thrissur
2024-08,31,Thrissur
2024-09,30,Thrissur
2024-10,31,Thrissur
2024-11,30,Thrissur
2024-12,30,Thrissur
2024-01,31,Palakkad
2024-02,29,Palakkad
2024-03,31,Palakkad
2024-04,30,Palakkad
2024-05,31,Palakkad
2024-06,30,Palakkad
2024-07,31,Palakkad
2024-08,31,Palakkad
2024-09,30,Palakkad
2024-10,31,Palakkad
2024-11,30,Palakkad
2024-12,30,Palakkad
2024-01,31,Idukki
2024-02,29,Idukki
2024-03,31,Idukki
2024-04,30,Idukki
2024-05,31,Idukki
2024-06,30,Idukki
2024-07,31,Idukki
2024-08,31,Idukki
2024-09,30,Idukki
2024-10,31,Idukki
2024-11,30,Idukki
2024-12,30,Idukki
