system:index,LST_day,NDVI,date,fire_label,precip_m,temp_2m,u_wind_10m,v_wind_10m,.geo
0,,0.7787508426016891,2024-01-01,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,,,2024-01-02,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,22.926898121327504,,2024-01-03,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,,,2024-01-04,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,,,2024-01-05,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,19.339090479884025,,2024-01-06,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,20.57000000000005,,2024-01-07,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,23.277931875561688,,2024-01-08,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,,,2024-01-09,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,19.09768689407543,,2024-01-10,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,,,2024-01-11,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,21.71422520240228,,2024-01-12,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,21.61839200424556,,2024-01-13,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,24.70353112127569,,2024-01-14,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,24.667221197341494,,2024-01-15,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,,,2024-01-16,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,25.82243183139169,0.8200487341232371,2024-01-17,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,25.671243082055078,,2024-01-18,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,25.3188080305465,,2024-01-19,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,22.064140790622268,,2024-01-20,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,24.332206719817822,,2024-01-21,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,25.736465593490227,,2024-01-22,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,,,2024-01-23,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,26.00330999974732,,2024-01-24,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,24.853903110864056,,2024-01-25,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,25.0545747719059,,2024-01-26,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,24.328913498990918,,2024-01-27,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,,,2024-01-28,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,25.24902617349142,,2024-01-29,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,26.50123903868996,,2024-01-30,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,26.345329155189415,,2024-01-31,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,23.02237629500839,,2024-02-01,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,23.47010972461275,0.7986965733888013,2024-02-02,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,26.787083722928404,,2024-02-03,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,26.71788216169801,,2024-02-04,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,25.710497586616473,,2024-02-05,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,26.079968411210242,,2024-02-06,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,26.517168633595343,,2024-02-07,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,26.248253013570565,,2024-02-08,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,,,2024-02-09,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,24.962598259826002,,2024-02-10,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,25.36597381921107,,2024-02-11,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,26.513075484572052,,2024-02-12,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,24.13908076397905,,2024-02-13,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,,,2024-02-14,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,26.368750537036586,,2024-02-15,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,24.87121071598922,,2024-02-16,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,25.271109651007073,,2024-02-17,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,18.929622749629942,0.7865214649647332,2024-02-18,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,26.90914866694508,,2024-02-19,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,27.381086148947492,,2024-02-20,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,,,2024-02-21,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,27.997386722599916,,2024-02-22,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,28.23072945253123,,2024-02-23,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,,,2024-02-24,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,27.289294180081388,,2024-02-25,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,,,2024-02-26,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,25.676841229374716,,2024-02-27,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,26.76798311895078,,2024-02-28,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,28.75126658411465,,2024-02-29,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,24.309742993606463,,2024-03-01,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,21.982036677663505,,2024-03-02,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,29.08210810947413,,2024-03-03,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,27.41532460640371,,2024-03-04,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,30.811068206514886,0.7807154920857542,2024-03-05,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,21.854765687659953,,2024-03-06,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,28.470893583421503,,2024-03-07,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,29.254060296681956,,2024-03-08,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,,,2024-03-09,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,30.06550579970183,,2024-03-10,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,28.31543327184051,,2024-03-11,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,30.317329610068015,,2024-03-12,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,29.446008945945287,,2024-03-13,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,,,2024-03-14,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,29.491102069697536,,2024-03-15,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,29.724710267620278,,2024-03-16,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,31.043897803947377,,2024-03-17,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,29.040425816886138,,2024-03-18,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,29.82341133658491,,2024-03-19,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,30.03787976043064,,2024-03-20,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,,0.7548064359516213,2024-03-21,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,28.984255189565115,,2024-03-22,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,28.09195547244195,,2024-03-23,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,22.482987012987046,,2024-03-24,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,30.749006343029013,,2024-03-25,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,,,2024-03-26,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,31.071510954992352,,2024-03-27,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,27.199646758075772,,2024-03-28,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
