system:index,LST_day,NDVI,date,fire_label,precip_m,temp_2m,u_wind_10m,v_wind_10m,.geo
0,,0.6374762639264885,2024-01-01,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,,,2024-01-02,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,28.172113713539442,,2024-01-03,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,,,2024-01-04,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,25.285774367275806,,2024-01-05,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,,,2024-01-06,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,25.5091401258111,,2024-01-07,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,27.478839932980563,,2024-01-08,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,,,2024-01-09,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,,,2024-01-10,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,,,2024-01-11,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,27.799211019611416,,2024-01-12,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,25.721951478392757,,2024-01-13,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,26.486453450164337,,2024-01-14,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,28.84872276977512,,2024-01-15,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,,,2024-01-16,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,29.13159085165533,0.6418647850574749,2024-01-17,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,28.04912635835232,,2024-01-18,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,29.655832954258308,,2024-01-19,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,29.584797826636397,,2024-01-20,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,27.128875992669546,,2024-01-21,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,30.547094516047544,,2024-01-22,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,,,2024-01-23,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,29.929127874652522,,2024-01-24,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,29.10765276724795,,2024-01-25,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,28.000518729706208,,2024-01-26,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,30.06847510740463,,2024-01-27,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,,,2024-01-28,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,29.773515289360667,,2024-01-29,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,28.60988577204955,,2024-01-30,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,29.063831598474724,,2024-01-31,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,28.88563637287147,,2024-02-01,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,,0.5766838355186467,2024-02-02,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,31.215837619258252,,2024-02-03,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,29.00944604498358,,2024-02-04,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,30.826508213292932,,2024-02-05,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,31.363520596411476,,2024-02-06,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,29.773775403789944,,2024-02-07,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,26.872802231196257,,2024-02-08,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,,,2024-02-09,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
