system:index,LST_day,NDVI,date,fire_label,precip_m,temp_2m,u_wind_10m,v_wind_10m,.geo
0,,0.6689245455320794,2024-01-01,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,,,2024-01-02,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,29.188526789031762,,2024-01-03,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,,,2024-01-04,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,28.443477321814267,,2024-01-05,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,27.147892503536088,,2024-01-06,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,27.290575760394407,,2024-01-07,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,,,2024-01-08,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,,,2024-01-09,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,21.095370370370397,,2024-01-10,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,,,2024-01-11,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,28.636905506804037,,2024-01-12,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,24.5313418150029,,2024-01-13,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,27.355103059231965,,2024-01-14,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,29.95836997725551,,2024-01-15,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,,,2024-01-16,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,29.169593000698406,0.6812883747816505,2024-01-17,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,28.73936782484245,,2024-01-18,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,30.239358341307838,,2024-01-19,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,29.956103108415487,,2024-01-20,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,26.7930608621547,,2024-01-21,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,31.345431134698046,,2024-01-22,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,30.021303765478912,,2024-01-23,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,30.229136717041353,,2024-01-24,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,30.0070106141016,,2024-01-25,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,29.76872222722539,,2024-01-26,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,30.807100075815033,,2024-01-27,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,,,2024-01-28,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,30.987303765478917,,2024-01-29,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,30.19574576699522,,2024-01-30,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,30.11023991906347,,2024-01-31,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,31.682580995703844,,2024-02-01,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,,0.6265551827939332,2024-02-02,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,31.421622188526698,,2024-02-03,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,29.718061589848052,,2024-02-04,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,31.217230224917888,,2024-02-05,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,32.00510159211529,,2024-02-06,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,30.676505433409176,,2024-02-07,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,29.760022239070032,,2024-02-08,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,,,2024-02-09,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,32.15782031842307,,2024-02-10,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,32.38396537781153,,2024-02-11,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,31.906539044730874,,2024-02-12,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,31.894848875410666,,2024-02-13,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,,,2024-02-14,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,30.6681650240081,,2024-02-15,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,31.6489557745767,,2024-02-16,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,30.49346066968791,,2024-02-17,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,33.00438387667427,0.6243949173368376,2024-02-18,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,30.08379140259817,,2024-02-19,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,33.370419257012905,,2024-02-20,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,,,2024-02-21,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,31.515121731964978,,2024-02-22,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,31.17481086376753,,2024-02-23,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,,,2024-02-24,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,32.74252287086178,,2024-02-25,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,,,2024-02-26,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,32.382360121304025,,2024-02-27,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,34.428614607025516,,2024-02-28,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,32.858302211491555,,2024-02-29,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,33.568695811678424,,2024-03-01,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,,,2024-03-02,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,33.34528985231664,,2024-03-03,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,30.482146870175566,,2024-03-04,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,34.49462117765985,0.5941686116884515,2024-03-05,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,33.20607050796059,,2024-03-06,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,31.486826315556964,,2024-03-07,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,32.55756242447374,,2024-03-08,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,,,2024-03-09,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,33.055229681066685,,2024-03-10,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,33.621295931261066,,2024-03-11,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,31.91469079780499,,2024-03-12,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,32.170338071230134,,2024-03-13,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,,,2024-03-14,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,31.56287532862878,,2024-03-15,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,,,2024-03-16,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,31.756182494421065,,2024-03-17,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,32.438550431499486,,2024-03-18,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,27.878967136150262,,2024-03-19,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,33.36933254084682,,2024-03-20,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,32.64356077836745,0.5878727420037521,2024-03-21,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,33.28888556253023,,2024-03-22,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,,,2024-03-23,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,,,2024-03-24,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,37.69973717462728,,2024-03-25,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,,,2024-03-26,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,34.998670962850674,,2024-03-27,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,30.80941094458002,,2024-03-28,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,,,2024-03-29,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,36.29555513336886,,2024-03-30,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,,,2024-03-31,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,34.37927567420324,,2024-04-01,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,26.19676258992809,,2024-04-02,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,,,2024-04-03,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,33.00792611987643,,2024-04-04,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,,,2024-04-05,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,34.23334908231875,0.5963382205782954,2024-04-06,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,28.55612581279298,,2024-04-07,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,33.95630281225249,,2024-04-08,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,32.596903667066,,2024-04-09,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,33.730095325992146,,2024-04-10,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,,,2024-04-11,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,,,2024-04-12,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,,,2024-04-13,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,,,2024-04-14,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,,,2024-04-15,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,,,2024-04-16,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,,,2024-04-17,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,,,2024-04-18,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,,,2024-04-19,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,,,2024-04-20,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,30.190000000000055,,2024-04-21,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,,0.5656448737467858,2024-04-22,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,36.729130654536284,,2024-04-23,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,,,2024-04-24,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,34.20901794616156,,2024-04-25,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,32.021321222732944,,2024-04-26,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,28.41293051186736,,2024-04-27,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,35.160275806630466,,2024-04-28,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,,,2024-04-29,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,,,2024-04-30,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,,,2024-05-01,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,,,2024-05-02,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,,,2024-05-03,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,,,2024-05-04,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,,,2024-05-05,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,27.939063670412004,,2024-05-06,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,35.23124332777588,,2024-05-07,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,,0.6130769086440951,2024-05-08,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,,,2024-05-09,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,,,2024-05-10,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,,,2024-05-11,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,,,2024-05-12,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,,,2024-05-13,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,,,2024-05-14,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,34.66787685518245,,2024-05-15,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,,,2024-05-16,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,,,2024-05-17,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,,,2024-05-18,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,,,2024-05-19,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,,,2024-05-20,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,,,2024-05-21,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,,,2024-05-22,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,,,2024-05-23,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,,0.30272230231279934,2024-05-24,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,,,2024-05-25,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,,,2024-05-26,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,,,2024-05-27,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,,,2024-05-28,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,,,2024-05-29,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,,,2024-05-30,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,,,2024-05-31,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,,,2024-06-01,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,,,2024-06-02,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,,,2024-06-03,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,,,2024-06-04,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,,,2024-06-05,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,,,2024-06-06,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,,,2024-06-07,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,,,2024-06-08,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,,0.6277104859343108,2024-06-09,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,,,2024-06-10,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,,,2024-06-11,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,,,2024-06-12,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,,,2024-06-13,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,,,2024-06-14,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,29.344242402876706,,2024-06-15,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,,,2024-06-16,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,24.690000000000055,,2024-06-17,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,,,2024-06-18,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,,,2024-06-19,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,,,2024-06-20,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,,,2024-06-21,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,,,2024-06-22,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,,,2024-06-23,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,,,2024-06-24,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,,0.5171371889470784,2024-06-25,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,,,2024-06-26,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,,,2024-06-27,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,,,2024-06-28,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,,,2024-06-29,1,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
