latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.08483,79.84312,367,0.64,0.72,2025-04-10,0705,N20,VIIRS,h,2,296.29,17.58,D,0
13.17392,79.37641,333.44,0.69,0.74,2025-04-10,0705,N20,VIIRS,n,2,293.09,9.64,D,0
14.94272,79.19247,348.21,0.65,0.73,2025-04-10,0705,N20,VIIRS,n,2,292.48,17.56,D,0
14.94084,79.19258,356.05,0.65,0.73,2025-04-10,0705,N20,VIIRS,n,2,292.35,13.33,D,0
14.94733,79.19079,345.67,0.65,0.73,2025-04-10,0705,N20,VIIRS,n,2,292.29,13.33,D,0
15.05662,79.50417,331.95,0.62,0.71,2025-04-10,0705,N20,VIIRS,n,2,294.28,6.02,D,0
15.6532,79.9318,334.14,0.56,0.69,2025-04-10,0705,N20,VIIRS,n,2,292.95,3.66,D,0
15.43363,78.40479,330.11,0.72,0.75,2025-04-10,0705,N20,VIIRS,n,2,292.22,3.16,D,0
15.44721,78.40162,332.13,0.72,0.75,2025-04-10,0705,N20,VIIRS,n,2,294.14,7.92,D,0
15.44678,78.39529,331.09,0.72,0.75,2025-04-10,0705,N20,VIIRS,n,2,294.04,10.59,D,0
15.94697,80.09103,349.46,0.54,0.68,2025-04-10,0705,N20,VIIRS,n,2,293.73,10.99,D,0
15.79307,79.06725,330.6,0.64,0.72,2025-04-10,0705,N20,VIIRS,n,2,292.37,14.17,D,0
15.79092,79.05727,331.84,0.64,0.72,2025-04-10,0705,N20,VIIRS,n,2,290.96,7.93,D,0
15.79735,79.05545,342.67,0.64,0.72,2025-04-10,0705,N20,VIIRS,n,2,291.24,7.93,D,0
15.79613,79.04977,330.2,0.64,0.72,2025-04-10,0705,N20,VIIRS,n,2,291.11,7.93,D,0
15.79627,79.05531,345.31,0.64,0.72,2025-04-10,0706,N20,VIIRS,n,2,291.98,22.51,D,0
15.79504,79.04978,341.87,0.64,0.72,2025-04-10,0706,N20,VIIRS,n,2,291.71,16.4,D,0
15.77406,78.48141,350.69,0.7,0.75,2025-04-10,0706,N20,VIIRS,n,2,294.74,9.09,D,0
15.77614,78.4828,340.79,0.7,0.75,2025-04-10,0706,N20,VIIRS,n,2,293.1,8.83,D,0
15.89225,78.56152,330.71,0.69,0.74,2025-04-10,0706,N20,VIIRS,n,2,295.82,3.61,D,0
16.23507,80.12663,330.89,0.53,0.67,2025-04-10,0706,N20,VIIRS,n,2,292.85,2.38,D,0
16.29699,80.14669,336.39,0.53,0.67,2025-04-10,0706,N20,VIIRS,n,2,293.39,8.93,D,0
16.52287,80.81513,332.54,0.47,0.64,2025-04-10,0706,N20,VIIRS,n,2,293.85,2.53,D,0
16.52555,80.49183,330.34,0.5,0.66,2025-04-10,0706,N20,VIIRS,n,2,292.75,3.2,D,0
16.51419,80.17779,341.17,0.52,0.67,2025-04-10,0706,N20,VIIRS,n,2,292.89,4.65,D,0
16.38474,79.33494,332.2,0.6,0.7,2025-04-10,0706,N20,VIIRS,n,2,292.2,4.7,D,0
16.38572,79.33228,330.86,0.6,0.7,2025-04-10,0706,N20,VIIRS,n,2,293.69,5.2,D,0
16.11861,77.95999,335.87,0.74,0.76,2025-04-10,0706,N20,VIIRS,n,2,294.45,5.36,D,0
16.55612,78.8512,348.24,0.64,0.72,2025-04-10,0706,N20,VIIRS,n,2,294.01,8.95,D,0
17.21917,81.82021,331.36,0.39,0.6,2025-04-10,0706,N20,VIIRS,n,2,293.66,3.8,D,0
17.67114,82.32944,330.68,0.36,0.57,2025-04-10,0706,N20,VIIRS,n,2,297.15,2.99,D,0
17.24635,80.30939,330.82,0.49,0.65,2025-04-10,0706,N20,VIIRS,n,2,295.07,3.53,D,0
17.77164,82.50603,344.79,0.35,0.56,2025-04-10,0706,N20,VIIRS,n,2,296.14,4.4,D,0
18.05174,83.12115,339.13,0.62,0.54,2025-04-10,0706,N20,VIIRS,n,2,299.01,5.87,D,0
18.13624,83.31549,331.06,0.6,0.53,2025-04-10,0706,N20,VIIRS,n,2,301.01,2.37,D,0
17.87603,81.73237,335.49,0.39,0.59,2025-04-10,0706,N20,VIIRS,n,2,294.37,4.23,D,0
17.63827,80.21343,331.91,0.49,0.65,2025-04-10,0706,N20,VIIRS,n,2,295.85,3.89,D,0
18.2978,83.10841,340.86,0.62,0.54,2025-04-10,0706,N20,VIIRS,n,2,298.71,11.76,D,0
18.12012,81.97112,332.7,0.37,0.58,2025-04-10,0706,N20,VIIRS,n,2,296.24,1.83,D,0
17.32693,78.24073,343.79,0.67,0.74,2025-04-10,0706,N20,VIIRS,n,2,297.01,8.64,D,0
17.32319,78.23835,334.23,0.67,0.74,2025-04-10,0706,N20,VIIRS,n,2,296.31,8.06,D,0
18.3116,82.24485,367,0.35,0.57,2025-04-10,0706,N20,VIIRS,h,2,299.56,15.89,D,3
18.31288,82.24363,367,0.35,0.57,2025-04-10,0706,N20,VIIRS,h,2,303.12,16.74,D,0
18.30755,82.19219,332.79,0.35,0.57,2025-04-10,0706,N20,VIIRS,n,2,301.14,3.73,D,0
