latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
28.9924,79.42035,320.55,1.11,1.05,2025-07-01,0858,Aqua,MODIS,39,6.1NRT,298.09,8.36,D
28.37876,76.69808,314.97,1.6,1.25,2025-07-01,0858,Aqua,MODIS,64,6.1NRT,291.69,11.33,D
28.47672,76.80362,313.19,1.57,1.23,2025-07-01,0858,Aqua,MODIS,51,6.1NRT,290.82,8.73,D
28.37423,76.68804,316.75,1.6,1.25,2025-07-01,0858,Aqua,MODIS,68,6.1NRT,291.54,14.24,D
30.90033,75.33252,316.9,1.29,1.13,2025-07-02,0423,Terra,MODIS,59,6.1NRT,295.59,9.14,D
9.17751,78.0461,320.86,1.06,1.03,2025-07-02,0932,Aqua,MODIS,59,6.1NRT,287.1,9.9,D
9.76937,78.38072,328.39,1.1,1.05,2025-07-02,0934,Aqua,MODIS,79,6.1NRT,294.26,20.42,D
30.89114,74.31934,321.34,1.18,1.08,2025-07-02,0939,Aqua,MODIS,58,6.1NRT,298.86,8.59,D
30.70247,74.20597,324.3,1.16,1.07,2025-07-02,0939,Aqua,MODIS,63,6.1NRT,298.65,10.24,D
30.70097,74.19421,323.02,1.16,1.07,2025-07-02,0939,Aqua,MODIS,59,6.1NRT,298.22,8.32,D
30.90039,75.30681,319.27,1.33,1.14,2025-07-02,0939,Aqua,MODIS,58,6.1NRT,293.59,10.8,D
30.98768,74.91756,321.64,1.27,1.12,2025-07-02,0939,Aqua,MODIS,65,6.1NRT,295.58,12.82,D
31.05444,74.62933,319.88,1.23,1.1,2025-07-02,0939,Aqua,MODIS,29,6.1NRT,297.65,8.31,D
31.05294,74.61684,319.73,1.23,1.1,2025-07-02,0939,Aqua,MODIS,50,6.1NRT,297.77,8.45,D
24.13813,82.575,307.01,1.37,1.16,2025-07-02,1520,Terra,MODIS,30,6.1NRT,288.37,10.28,N
23.76211,86.40253,318.43,1.08,1.04,2025-07-03,0837,Aqua,MODIS,54,6.1NRT,294.54,8.5,D
23.77449,86.36208,314.59,1.08,1.04,2025-07-03,0837,Aqua,MODIS,26,6.1NRT,290,6.75,D
29.47726,75.63066,316.87,2.45,1.51,2025-07-04,0404,Terra,MODIS,44,6.1NRT,293.48,23.32,D
12.31246,79.68008,322.27,1,1,2025-07-04,0408,Terra,MODIS,74,6.1NRT,296.43,11.64,D
9.96987,78.63792,319.19,1,1,2025-07-04,0410,Terra,MODIS,63,6.1NRT,298.8,6.05,D
9.66753,78.10507,324.43,1.02,1.01,2025-07-04,0410,Terra,MODIS,74,6.1NRT,302.83,7.54,D
9.30215,78.73441,327.82,1.27,1.12,2025-07-04,0911,Aqua,MODIS,76,6.1NRT,302.45,12.78,D
9.32588,78.82136,324.66,1.25,1.11,2025-07-04,0911,Aqua,MODIS,52,6.1NRT,303.24,8.42,D
11.78034,78.76291,321.1,1.17,1.08,2025-07-04,0913,Aqua,MODIS,71,6.1NRT,297.24,14.41,D
26.91851,69.88316,327.74,2.5,1.52,2025-07-04,0917,Aqua,MODIS,28,6.1NRT,296.7,42.67,D
29.09644,77.26654,318.22,1,1,2025-07-04,0917,Aqua,MODIS,46,6.1NRT,296.85,7.15,D
