latitude,longitude,brightness,scan,track,acq_date,acq_time,confidence,version,timestamp
22.61579,75.69604,314.88,1.01,1.0,2025-08-06,429,65,6.1NRT,2025-08-06 04:29:00
19.57004,71.35992,310.31,1.24,1.11,2025-08-06,432,34,6.1NRT,2025-08-06 04:32:00
19.52872,71.29571,310.68,1.25,1.11,2025-08-06,432,32,6.1NRT,2025-08-06 04:32:00
17.26448,78.78473,312.27,1.67,1.27,2025-08-06,432,55,6.1NRT,2025-08-06 04:32:00
17.26415,78.77827,312.95,1.67,1.27,2025-08-06,432,58,6.1NRT,2025-08-06 04:32:00
15.56877,80.0703,315.72,2.25,1.45,2025-08-06,432,59,6.1NRT,2025-08-06 04:32:00
14.24214,77.45049,314.81,1.51,1.21,2025-08-06,432,68,6.1NRT,2025-08-06 04:32:00
29.31205,90.80906,313.5,4.0,1.86,2025-08-06,744,44,6.1NRT,2025-08-06 07:44:00
6.14078,80.78426,314.86,1.08,1.04,2025-08-06,915,62,6.1NRT,2025-08-06 09:15:00
6.2552,80.86623,317.57,1.07,1.03,2025-08-06,915,68,6.1NRT,2025-08-06 09:15:00
6.42731,81.02776,318.33,1.05,1.02,2025-08-06,915,71,6.1NRT,2025-08-06 09:15:00
7.05626,81.03271,311.48,1.04,1.02,2025-08-06,915,34,6.1NRT,2025-08-06 09:15:00
7.77471,80.03268,315.69,1.12,1.06,2025-08-06,915,65,6.1NRT,2025-08-06 09:15:00
7.86905,80.17271,316.12,1.1,1.05,2025-08-06,915,56,6.1NRT,2025-08-06 09:15:00
7.92862,80.07711,312.81,1.11,1.05,2025-08-06,915,48,6.1NRT,2025-08-06 09:15:00
9.40462,80.48433,317.47,1.04,1.02,2025-08-06,917,58,6.1NRT,2025-08-06 09:17:00
9.42454,80.43402,319.33,1.05,1.02,2025-08-06,917,70,6.1NRT,2025-08-06 09:17:00
9.42315,80.42477,320.4,1.05,1.02,2025-08-06,917,73,6.1NRT,2025-08-06 09:17:00
9.56199,80.36269,319.67,1.05,1.02,2025-08-06,917,49,6.1NRT,2025-08-06 09:17:00
23.17194,82.33969,300.7,1.08,1.04,2025-08-06,2127,32,6.1NRT,2025-08-06 21:27:00
21.76265,84.02491,304.86,1.0,1.0,2025-08-06,2127,44,6.1NRT,2025-08-06 21:27:00
33.81713,90.19818,302.41,1.12,1.06,2025-08-07,330,31,6.1NRT,2025-08-07 03:30:00
23.76675,86.40044,312.59,1.34,1.15,2025-08-07,332,30,6.1NRT,2025-08-07 03:32:00
6.84376,81.77437,327.56,1.63,1.26,2025-08-07,336,81,6.1NRT,2025-08-07 03:36:00
21.10309,72.64771,322.06,1.28,1.12,2025-08-07,958,0,6.1NRT,2025-08-07 09:58:00
25.53584,68.81343,309.59,1.76,1.3,2025-08-07,1605,71,6.1NRT,2025-08-07 16:05:00
9.12125,77.62556,322.8,1.01,1.01,2025-08-08,414,72,6.1NRT,2025-08-08 04:14:00
36.06009,88.98614,304.31,1.62,1.25,2025-08-08,406,31,6.1NRT,2025-08-08 04:06:00
35.89915,86.49805,302.65,1.2,1.09,2025-08-08,406,31,6.1NRT,2025-08-08 04:06:00
34.93306,86.55958,305.89,1.25,1.11,2025-08-08,406,62,6.1NRT,2025-08-08 04:06:00
34.93082,86.57261,306.12,1.25,1.11,2025-08-08,406,63,6.1NRT,2025-08-08 04:06:00
22.36969,87.29935,305.92,1.17,1.08,2025-08-08,1505,61,6.1NRT,2025-08-08 15:05:00
22.36584,87.30434,309.71,1.09,1.04,2025-08-08,2106,78,6.1NRT,2025-08-08 21:06:00
21.45655,95.47691,322.91,1.03,1.01,2025-08-09,313,77,6.1NRT,2025-08-09 03:13:00
