district,ndvi,date
Alappuzha,0.4896317138724217,2025-08-13
Ernakulam,0.680254326652795,2025-08-13
Idukki,0.7362296377602098,2025-08-13
Kannur,0.48824119403314675,2025-08-13
Kasaragod,0.4720571997516517,2025-08-13
Kollam,0.6612267099494606,2025-08-13
Kottayam,0.5961201804284345,2025-08-13
Kozhikode,0.5973426351529243,2025-08-13
Malappuram,0.6814327943041811,2025-08-13
Palakkad,0.6533211006175919,2025-08-13
Pathanamthitta,0.7406447051242734,2025-08-13
Thiruvananthapuram,0.6961812373860521,2025-08-13
Thrissur,0.6821292400367692,2025-08-13
Wayanad,0.36470689993084937,2025-08-13
