DISTRICT,temp,rh,wind,precip,date
Alappuzha,26.596523,86.45504,2.8367724,13.677491,2025-09-11
Ernakulam,26.015694,84.396164,1.8870527,16.413597,2025-09-11
Idukki,21.877367,86.96136,1.2894022,49.06205,2025-09-11
Kannur,25.976166,81.01084,1.9076241,1.5876557,2025-09-11
Kasaragod,25.766783,81.51917,2.1414793,3.2953732,2025-09-11
Kollam,25.958963,83.09576,2.565252,19.342585,2025-09-11
Kottayam,25.743546,87.17029,1.8584483,26.727898,2025-09-11
Kozhikode,26.045921,82.01654,2.2003748,3.2303252,2025-09-11
Malappuram,25.641432,81.60666,2.026231,14.07644,2025-09-11
Palakkad,24.659166,83.447975,1.816454,30.392197,2025-09-11
Pathanamthitta,24.469757,84.774734,1.9525464,29.438263,2025-09-11
Thiruvananthapuram,26.007858,81.595085,3.6141121,13.527761,2025-09-11
Thrissur,26.087406,82.76139,2.2101653,18.469467,2025-09-11
Wayanad,23.022076,81.35002,1.3262274,6.171049,2025-09-11
