latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
19.40509,-155.27338,367.0,0.56,0.69,2025-07-31,22,N20,VIIRS,h,2.0NRT,329.9,21.45,D
19.40793,-155.27521,355.45,0.56,0.69,2025-07-31,22,N20,VIIRS,l,2.0NRT,330.36,41.23,D
19.40839,-155.26984,351.72,0.56,0.69,2025-07-31,22,N20,VIIRS,n,2.0NRT,319.27,26.26,D
19.41144,-155.27393,352.36,0.56,0.69,2025-07-31,22,N20,VIIRS,n,2.0NRT,325.09,21.45,D
56.05059,160.64233,356.53,0.42,0.61,2025-07-31,35,N20,VIIRS,l,2.0NRT,283.98,22.27,D
65.62749,147.48424,340.22,0.35,0.56,2025-07-31,35,N20,VIIRS,n,2.0NRT,295.53,4.3,D
65.62976,147.48988,333.83,0.34,0.56,2025-07-31,35,N20,VIIRS,n,2.0NRT,295.23,4.3,D
65.63198,147.49544,355.31,0.34,0.56,2025-07-31,35,N20,VIIRS,n,2.0NRT,294.86,4.28,D
65.63421,147.50099,330.84,0.34,0.56,2025-07-31,35,N20,VIIRS,n,2.0NRT,286.15,4.28,D
65.63633,147.48816,345.77,0.34,0.56,2025-07-31,35,N20,VIIRS,n,2.0NRT,290.53,3.68,D
65.6385,147.49356,327.33,0.34,0.56,2025-07-31,35,N20,VIIRS,n,2.0NRT,285.23,3.68,D
66.11497,152.64055,331.93,0.51,0.49,2025-07-31,35,N20,VIIRS,n,2.0NRT,298.37,23.82,D
66.11765,152.62601,345.18,0.51,0.49,2025-07-31,35,N20,VIIRS,n,2.0NRT,302.65,74.42,D
66.11839,152.633,354.1,0.51,0.49,2025-07-31,35,N20,VIIRS,n,2.0NRT,304.82,23.82,D
66.1191,152.61736,335.21,0.51,0.49,2025-07-31,35,N20,VIIRS,n,2.0NRT,301.47,20.32,D
66.12117,152.6414,348.47,0.51,0.49,2025-07-31,35,N20,VIIRS,n,2.0NRT,309.18,23.82,D
66.12119,152.6188,336.84,0.51,0.49,2025-07-31,35,N20,VIIRS,n,2.0NRT,309.1,74.42,D
66.12185,152.62563,352.41,0.51,0.49,2025-07-31,35,N20,VIIRS,n,2.0NRT,304.97,75.33,D
66.12328,152.64273,339.31,0.51,0.49,2025-07-31,35,N20,VIIRS,n,2.0NRT,309.4,221.32,D
66.12395,152.62704,367.0,0.51,0.49,2025-07-31,35,N20,VIIRS,h,2.0NRT,309.85,74.42,D
66.12466,152.63409,367.0,0.51,0.49,2025-07-31,35,N20,VIIRS,l,2.0NRT,327.14,75.33,D
66.12541,152.61853,336.73,0.51,0.49,2025-07-31,35,N20,VIIRS,n,2.0NRT,309.77,75.33,D
66.12749,152.64265,340.81,0.51,0.49,2025-07-31,35,N20,VIIRS,n,2.0NRT,297.28,42.31,D
66.12751,152.61992,348.11,0.51,0.49,2025-07-31,35,N20,VIIRS,n,2.0NRT,300.02,15.24,D
66.12817,152.62689,349.21,0.51,0.49,2025-07-31,35,N20,VIIRS,n,2.0NRT,309.77,75.33,D
66.13099,152.63539,327.43,0.51,0.49,2025-07-31,35,N20,VIIRS,n,2.0NRT,296.85,42.31,D
66.20466,158.44402,332.62,0.57,0.43,2025-07-31,35,N20,VIIRS,n,2.0NRT,295.47,6.87,D
66.20794,158.43831,341.41,0.57,0.43,2025-07-31,35,N20,VIIRS,n,2.0NRT,298.2,6.87,D
66.2103,158.4646,339.78,0.57,0.43,2025-07-31,35,N20,VIIRS,n,2.0NRT,299.56,7.75,D
66.21072,158.44846,345.47,0.57,0.43,2025-07-31,35,N20,VIIRS,n,2.0NRT,302.49,7.75,D
66.21124,158.4326,348.17,0.57,0.43,2025-07-31,35,N20,VIIRS,n,2.0NRT,300.44,17.07,D
66.2136,158.45897,326.37,0.57,0.43,2025-07-31,35,N20,VIIRS,l,2.0NRT,301.27,7.75,D
66.21406,158.44292,348.64,0.57,0.43,2025-07-31,35,N20,VIIRS,n,2.0NRT,303.15,62.36,D
66.21458,158.42709,349.29,0.57,0.43,2025-07-31,35,N20,VIIRS,n,2.0NRT,302.08,17.07,D
66.21658,158.46986,339.85,0.57,0.43,2025-07-31,35,N20,VIIRS,n,2.0NRT,298.8,7.94,D
66.21696,158.45352,333.97,0.57,0.43,2025-07-31,35,N20,VIIRS,n,2.0NRT,303.95,62.36,D
66.21989,158.46426,328.9,0.57,0.43,2025-07-31,35,N20,VIIRS,l,2.0NRT,301.68,5.92,D
66.22034,158.44817,350.74,0.57,0.43,2025-07-31,35,N20,VIIRS,n,2.0NRT,312.45,62.36,D
66.2208,158.43213,343.71,0.57,0.43,2025-07-31,35,N20,VIIRS,n,2.0NRT,296.09,57.96,D
66.22322,158.45871,329.33,0.57,0.43,2025-07-31,35,N20,VIIRS,l,2.0NRT,304.08,5.92,D
66.22372,158.44279,339.9,0.57,0.43,2025-07-31,35,N20,VIIRS,l,2.0NRT,313.89,57.96,D
